,Columns,Features,WOE,Betas,Scores
0,LOAN,"(-999999999.0, 7600.0]",0.8989095149650328,0.505048138162099,17.13669077591998
1,LOAN,"(7600.0, 10000.0]",0.1545661406370325,0.505048138162099,44.25425295470313
2,LOAN,"(10000.0, 12100.0]",-0.11253545129402782,0.505048138162099,53.985170535291076
3,LOAN,"(12100.0, 14400.0]",-0.1583180268125078,0.505048138162099,55.65309945243642
4,LOAN,"(14400.0, 16300.0]",0.16208203741290786,0.505048138162099,43.9804373943334
5,LOAN,"(16300.0, 18800.0]",-0.4335687039068342,0.505048138162099,65.68090061019676
6,LOAN,"(18800.0, 21700.0]",-0.2139155575323931,0.505048138162099,57.678602128058984
7,LOAN,"(21700.0, 25000.0]",-0.16426452600023422,0.505048138162099,55.86973946970645
8,LOAN,"(25000.0, 30500.0]",-0.5564668402299882,0.505048138162099,70.15826679406113
9,LOAN,"(30500.0, 999999999.0]",-0.017993488868374704,0.505048138162099,50.54086293075788
10,MORTDUE,"(-999999999.0, 28268.5]",0.4039951099573045,0.5745938026854506,33.14047010553986
11,MORTDUE,"(28268.5, 43791.4]",0.3174992672393767,0.5745938026854506,36.72556549203682
12,MORTDUE,"(43791.4, 52271.2]",-0.06318552611490688,0.5745938026854506,52.504257894800304
13,MORTDUE,"(52271.2, 60537.0]",0.0010503110485132925,0.5745938026854506,49.84179925833897
14,MORTDUE,"(60537.0, 69529.0]",0.07299252107269885,0.5745938026854506,46.85992548096904
15,MORTDUE,"(69529.0, 73760.817]",-0.025653043198271643,0.5745938026854506,50.94860473136433
16,MORTDUE,"(73760.817, 81347.9]",-0.35685378632597237,0.5745938026854506,64.67627323982293
17,MORTDUE,"(81347.9, 96205.8]",-0.29854736812115795,0.5745938026854506,62.259578236446586
18,MORTDUE,"(96205.8, 126562.0]",-0.09628494928275241,0.5745938026854506,53.87616879324351
19,MORTDUE,"(126562.0, 999999999.0]",-0.21196243191151093,0.5745938026854506,58.67079008673589
20,VALUE,"(-999999999.0, 49058.4]",0.6301142213840788,0.7095331987754482,17.634825804844166
21,VALUE,"(49058.4, 61980.0]",-0.1187408699036024,0.7095331987754482,55.96272810630042
22,VALUE,"(61980.0, 70608.4]",-0.2240268671367136,0.7095331987754482,61.35147615997671
23,VALUE,"(70608.4, 80477.2]",0.07299252107269885,0.7095331987754482,46.14942942840776
24,VALUE,"(80477.2, 90000.0]",-0.0803219429621699,0.7095331987754482,53.99637053529697
25,VALUE,"(90000.0, 100748.8]",-0.5278662253967729,0.7095331987754482,76.90258260795966
26,VALUE,"(100748.8, 112004.2]",0.5596618198604525,0.7095331987754482,21.24072071551009
27,VALUE,"(112004.2, 131000.0]",-0.4062300597238661,0.7095331987754482,70.67700021094564
28,VALUE,"(131000.0, 174522.9]",0.06502435142352206,0.7095331987754482,46.557256298236375
29,VALUE,"(174522.9, 999999999.0]",-0.37709658907061394,0.7095331987754482,69.18589087632107
30,REASON,DebtCon,-0.06275190007720814,0.4877975052040271,52.093393392980545
31,REASON,HomeImp,0.13812438390219078,0.4877975052040271,45.02512903816851
32,REASON,Missing,-0.05747567411100019,0.4877975052040271,51.90773802746858
33,JOB,Mgr,0.20010216676745324,0.8480476812106958,37.644340979968085
34,JOB,Missing,-1.0202399197250875,0.8480476812106958,112.29719291090947
35,JOB,Office,-0.4951991545494435,0.8480476812106958,80.17850182075743
36,JOB,Other,0.1923533427561988,0.8480476812106958,38.11836528672106
37,JOB,ProfExe,-0.22376108640425216,0.8480476812106958,63.57362837260433
38,JOB,Sales,0.7643495915103956,0.8480476812106958,3.1272330985073964
39,JOB,Self,0.5446115409333151,0.8480476812106958,16.569424706003645
40,YOJ,"(-999999999.0, 1.0]",0.09763979112635689,0.7387937546292924,44.68184422466868
41,YOJ,"(1.0, 2.0]",0.3950920304816249,0.7387937546292924,28.829809988689817
42,YOJ,"(2.0, 4.0]",0.28884885895322426,0.7387937546292924,34.491795913077695
43,YOJ,"(4.0, 6.0]",-0.006205657461785694,0.7387937546292924,50.21604900940285
44,YOJ,"(6.0, 8.0]",-0.1290228254030485,0.7387937546292924,56.76130802372663
45,YOJ,"(8.0, 8.922]",-0.49013236640964664,0.7387937546292924,76.00581201328393
46,YOJ,"(8.922, 10.0]",-0.027354506587980054,0.7387937546292924,51.34312837221635
47,YOJ,"(10.0, 14.0]",0.09420891322106453,0.7387937546292924,44.864684986372275
48,YOJ,"(14.0, 20.0]",0.06077806054207085,0.7387937546292924,46.64630553276332
49,YOJ,"(20.0, 999999999.0]",-0.5503255722079057,0.7387937546292924,79.21367073089026
50,DEROG,"(-999999999, 1]",-0.1396218084590611,0.814544657618797,58.08908811655884
